
2025/01/05 (12:23:40) | ===> btop++ v.1.4.0
2025/01/05 (12:23:40) | INFO: Logger set to INFO
2025/01/05 (12:23:41) | INFO: Logger set to DEBUG
2025/01/05 (12:23:43) | INFO: Logger set to INFO

2025/01/19 (17:06:23) | ===> btop++ v.1.4.0
2025/01/19 (17:06:23) | WARNING: Failed to set locale UTF-8 continuing anyway.

2025/03/07 (21:56:36) | ===> btop++ v.1.4.0
2025/03/07 (21:56:36) | ERROR: Stall in Runner thread, restarting!
2025/03/07 (21:57:00) | ERROR: Stall in Runner thread, restarting!

2025/03/31 (13:32:19) | ===> btop++ v.1.4.0
2025/03/31 (13:32:19) | ERROR: Stall in Runner thread, restarting!

2025/04/01 (17:38:40) | ===> btop++ v.1.4.0
2025/04/01 (17:38:40) | ERROR: Stall in Runner thread, restarting!
2025/04/01 (18:09:37) | ERROR: Stall in Runner thread, restarting!
2025/04/01 (18:09:53) | ERROR: No response from Runner thread, quitting!

2025/04/17 (03:26:48) | ===> btop++ v.1.4.0
2025/04/17 (03:26:48) | ERROR: Stall in Runner thread, restarting!

2025/04/29 (13:46:13) | ===> btop++ v.1.4.0
2025/04/29 (13:46:13) | WARNING: Failed to set locale UTF-8 continuing anyway.
